artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Jo Dee Messina,"Heads Carolina, Tails California",6Lmx6bz3PGYuNSjKMnYBOa,60,0.0471,0.607,209760,0.815,2.81e-05,4,0.111,-6.619,1,0.039,136.949,4,0.57
Sublime,Caress Me Down,2JKlf0IYz5oWsT3OCLyjpO,60,0.0149,0.753,211560,0.484,0.0,9,0.135,-7.519,1,0.258,79.668,4,0.597
Los Rieleros Del Norte,El Columpio,2OFmcOC5m9iAvt4kcdXBSz,62,0.176,0.515,199333,0.499,2.86e-06,8,0.0464,-7.478,1,0.0437,165.974,3,0.795
Tonic,If You Could Only See,4KoNBTm9a55KgLMtEaf3n6,63,0.00222,0.443,261533,0.94,0.0,10,0.263,-5.107,0,0.04,95.196,4,0.521
Grupo Mojado,Piensa En Mí,1xKP7GVLY33i5jmx1bB1Kk,64,0.307,0.722,177040,0.537,0.0,10,0.0662,-8.906,1,0.0581,80.08,4,0.748
Backstreet Boys,Quit Playing Games (With My Heart),1nRwyxNsqCLeA17qR8Nfxx,58,0.0615,0.8,233533,0.875,2.79e-06,11,0.13,-4.952,0,0.0338,100.033,4,0.882
The Cardigans,Lovefool,0u4htORODiTK9vHVA89MQX,65,0.0646,0.64,193893,0.602,0.0,9,0.375,-7.902,1,0.0299,111.87,4,0.951
Donna Lewis,I Love You Always Forever,1PEqh7awkpuepLBSq8ZwqD,67,0.627,0.744,239960,0.453,0.421,5,0.0898,-11.977,1,0.0348,103.773,4,0.122
2Pac,Only God Can Judge Me,13XHuE00ElL5thSxkaEXxK,65,0.0012,0.803,296907,0.784,0.000161,11,0.0794,-5.97,0,0.198,90.185,4,0.801
Marilyn Manson,The Beautiful People,2aIB1CdRRG7YLBu9hNw9nR,66,0.00106,0.639,218827,0.837,0.558,1,0.0559,-10.011,1,0.0616,143.97,4,0.911
The Verve Pipe,The Freshmen,21jEuMn2lf37715rwjow2M,61,0.0757,0.571,269467,0.505,1.04e-05,1,0.109,-9.312,0,0.0238,99.562,4,0.276
Makaveli,Hail Mary,4akCwzFRS8Syu5uFy7L1sG,65,0.158,0.654,309800,0.637,1.28e-05,10,0.338,-6.915,0,0.293,81.947,4,0.364
Sheryl Crow,If It Makes You Happy,5XrfFo0JFOnWD9ZMNXGkQh,59,0.0577,0.546,323400,0.693,0.000259,7,0.105,-6.807,1,0.0261,95.448,4,0.398
112,Cupid,3kVIFDE3G89I2RPVkiRaRj,60,0.373,0.685,252267,0.38,0.0,8,0.0371,-11.219,1,0.112,175.562,4,0.87
Fugees,Ready or Not,3vZO25GdYuqFrR1kzZADnp,67,0.21,0.601,226987,0.422,0.0,10,0.0839,-13.364,0,0.518,132.456,3,0.563
Spice Girls,Say You'll Be There,1yTQ39my3MoNROlFw3RDNy,65,0.0149,0.726,235973,0.679,1.49e-06,1,0.0837,-6.219,1,0.0473,107.02,4,0.751
Backstreet Boys,As Long as You Love Me,00WvmRXTkPBZNhhRK3xfdy,57,0.164,0.775,214333,0.816,0.0,0,0.126,-5.534,1,0.0281,98.219,4,0.753
Keith Sweat,Nobody (feat. Athena Cage),4SF1747p541umnykBp352Q,59,0.484,0.699,264773,0.492,0.0,9,0.0482,-9.449,0,0.0318,117.907,4,0.388
Ghost Town DJs,My Boo - Hitman's Club Mix,4c0rkFPszqQTyC753tsCMU,61,0.000131,0.885,346840,0.477,0.000664,6,0.336,-9.196,0,0.0664,130.078,4,0.691
Los Angeles Azules,Cómo Te Voy A Olvidar,51dNexiESqcJLsGLrmg1Nv,64,0.229,0.668,267827,0.472,3.58e-06,11,0.145,-7.912,0,0.0544,83.17,4,0.651
George Strait,Blue Clear Sky,59MIR30ATtW8kTaX3SCpq0,58,0.285,0.656,174867,0.787,2.13e-05,4,0.278,-6.571,1,0.03,124.01,4,0.756
Chaka Khan,Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh,67,0.189,0.799,280853,0.878,0.000105,1,0.14,-7.109,1,0.0434,104.284,4,0.816
Shenandoah,Two Dozen Roses,0e05wFNr6zg1ULcp4NKs1p,57,0.314,0.687,204333,0.648,1.37e-06,4,0.289,-9.137,1,0.027,121.341,4,0.6
Maxwell,Ascension (Don't Ever Wonder),6l4TNbfPtNAOOlGIfceSaO,61,0.0805,0.753,346133,0.471,0.0299,0,0.131,-10.48,1,0.0317,96.038,4,0.778
Keith Sweat,Twisted,69QIVIjPMnI1ABLBqh9P1b,60,0.393,0.615,260667,0.514,0.0,11,0.248,-9.759,1,0.0466,175.849,4,0.822
Westside Connection,Bow Down,2Vpj5colB0MPy3Zg5SITEC,55,0.0208,0.897,206827,0.458,0.0,9,0.419,-11.01,1,0.279,92.928,4,0.513
Backstreet Boys,Everybody (Backstreet's Back) - Extended Version,5WTxbyWTpoqhdxEN2szOnl,55,0.00602,0.792,287293,0.811,0.000155,10,0.224,-5.198,0,0.0367,108.054,4,0.509
2Pac,How Do You Want It,1eduDdsjMO7Or4EXnMf2iS,61,0.0346,0.763,287547,0.84,0.0,8,0.0601,-3.704,1,0.0929,92.477,4,0.748
2Pac,All About U,7HFl64GKBtPTa5YoW7j4jL,62,0.065,0.859,276813,0.792,0.0,2,0.3,-4.007,1,0.141,103.201,4,0.766
Lil' Kim,Crush on You,1bb6bROP3OXMHcPw84MtmN,58,0.278,0.827,275640,0.635,0.000119,11,0.109,-6.77,0,0.251,88.87,4,0.766
OutKast,Elevators (Me & You),2oLwDI8tZUOh6SmTMRRfKs,58,0.0234,0.774,265200,0.586,0.000726,10,0.0562,-10.434,0,0.301,85.075,4,0.642
Total,Can't You See (feat. The Notorious B.I.G.),174UISK3l7VRbigEHxEev7,57,0.165,0.744,281880,0.574,1.27e-05,8,0.295,-9.445,0,0.0651,86.278,4,0.805
